Price,Hostel No.,Occupancy,Room Size,Floor
1760.0,2,2,1161,4
1140.0,1,1,661,2
,2,2,1074,7
3604.0,3,1,787,8
700.0,1,3,1246,1
1185.0,1,3,1178,1
760.0,1,2,862,2
2230.0,3,1,791,1
,3,3,1337,5
,1,1,648,5
1940.0,2,1,620,4
1440.0,2,1,667,4
2000.0,3,1,658,2
6100.0,2,1,653,8
1382.0,1,3,1125,4
,3,2,1099,7
3196.0,2,1,714,7
1540.0,3,2,956,4
2910.0,3,1,612,6
4824.0,1,3,1332,8
760.0,1,3,1305,1
942.0,1,2,884,2
1060.0,2,3,1332,3
1508.0,3,3,1320,2
2040.0,2,1,683,1
1582.0,2,2,1040,4
1530.0,1,1,585,4
1200.0,3,2,1093,4
2040.0,2,3,1396,2
,2,3,1143,5
,1,3,1235,6
1005.0,2,3,1333,4
1810.0,1,2,827,4
,2,2,1193,7
1800.0,2,2,1051,4
,2,2,1089,7
1820.0,2,3,1047,1
,2,1,625,7
1310.0,1,3,1191,2
,1,2,890,6
1080.0,1,2,941,4
1143.0,1,1,552,4
520.6,3,3,1366,4
3220.0,1,2,993,8
998.0,3,4,1404,2
2910.0,2,2,1025,7
,1,2,846,6
,1,1,543,5
1208.0,2,2,1067,1
,2,2,1127,5
1960.0,3,1,649,1
2810.0,2,1,786,6
1720.0,2,2,1137,4
,3,3,1081,5
2100.0,3,3,1001,2
3700.0,2,1,744,6
1500.0,3,2,948,3
2200.0,2,1,734,3
1680.0,3,2,1057,2
,2,1,683,8
,2,3,1395,8
1850.0,1,1,560,1
,1,2,912,5
902.5,2,1,706,1
1145.0,2,3,1077,1
1860.0,3,2,1131,1
2700.0,1,1,639,8
856.0,3,3,1215,4
2058.0,1,2,993,8
900.0,3,2,1174,2
856.0,2,3,1176,2
1520.0,1,2,925,4
1240.0,3,3,1325,1
2370.0,1,1,543,7
1190.0,1,3,1044,3
860.0,1,2,878,3
1184.0,2,2,996,3
,2,2,995,5
,3,2,1012,8
,1,2,820,7
1020.0,3,3,1365,3
2620.0,3,1,651,7
3900.0,1,1,726,7
946.0,2,1,664,3
1300.0,2,3,1122,4
1940.0,3,2,903,4
,3,2,1174,7
,3,1,686,8
,2,1,627,8
1294.0,3,2,953,1
2800.0,3,1,708,8
2180.0,1,2,984,6
770.0,1,4,1463,3
,1,1,580,8
,3,2,1148,7
2820.0,3,2,1087,5
2270.0,3,2,1044,2
2550.0,3,1,669,5
2300.0,3,1,704,1
1250.0,3,1,692,1
4200.0,3,1,680,6
2800.0,1,3,1006,5
2760.0,2,3,1025,8
1120.0,3,1,693,3
1565.0,1,3,1179,2
2510.0,3,3,1049,8
950.0,3,2,980,2
2620.0,2,2,1087,5
3300.0,2,1,728,5
1605.0,2,1,660,4
1945.0,2,1,733,2
1410.0,2,2,1110,3
1801.0,1,1,562,3
1780.0,1,3,1100,2
1200.0,1,2,903,1
970.0,3,3,1316,2
,3,1,629,8
2670.0,2,2,1127,5
,1,4,1453,6
1050.0,2,3,1197,4
1240.0,2,2,1168,2
1724.0,3,2,1012,1
1358.0,1,1,573,4
4204.0,2,2,1159,8
,2,2,1098,5
,3,2,928,5
1752.0,2,2,981,4
3000.0,2,3,1085,6
1506.4,2,1,610,4
1260.0,1,2,870,2
1614.0,3,3,1388,3
1047.0,2,3,1108,2
,1,4,1745,7
,1,2,815,7
1260.0,2,1,731,3
,1,2,938,6
1620.0,2,2,1011,3
1090.0,3,2,1153,2
1364.0,2,2,965,1
9016.0,2,2,970,7
1480.0,3,2,943,2
,3,2,1156,8
2536.0,2,1,774,8
2040.0,2,2,1178,4
,3,3,1293,7
1314.0,3,2,905,4
5800.0,2,2,1099,5
,3,1,705,8
,1,3,1006,7
2810.0,3,2,1134,6
1098.0,3,3,1050,1
2600.0,3,2,1018,7
,2,2,925,8
3040.0,1,1,737,5
1344.0,2,2,949,4
962.0,2,3,1353,1
1720.0,2,2,1174,1
1411.0,3,3,1091,2
1324.0,3,2,955,4
8750.0,3,1,783,6
2650.0,1,2,900,5
870.0,1,2,948,2
1300.0,3,3,1289,1
640.0,3,4,1559,4
3534.0,2,2,948,6
7000.0,2,2,973,8
1748.0,1,2,909,2
,3,2,1015,6
950.0,3,2,1179,4
3326.0,2,2,1032,5
1500.0,2,3,1153,1
3500.0,3,2,998,6
1800.0,3,3,1132,2
2840.0,1,1,637,6
2400.0,3,2,912,3
,3,2,1125,8
3476.0,2,1,686,6
3130.0,2,2,1022,6
1934.0,1,1,673,2
,3,3,1193,7
1070.0,2,2,1156,4
2202.0,2,2,1193,4
1720.0,2,2,1175,1
,1,3,1235,6
1252.0,3,1,771,2
,3,3,1214,7
2120.0,1,2,900,6
3880.0,3,1,624,7
960.0,1,3,1108,2
2210.0,1,2,811,5
,2,2,985,7
,2,2,1072,8
1332.0,1,1,556,3
1335.0,1,2,895,4
730.0,3,4,1714,3
1080.0,3,3,1073,3
2400.0,1,3,1038,6
,2,1,739,6
1030.0,1,2,801,4
1900.0,1,2,851,2
1200.0,3,2,1165,3
864.0,3,3,1214,3
,1,2,861,5
3710.0,3,1,734,5
,2,1,629,7
3930.0,3,1,656,8
1284.0,3,3,1373,3
2230.0,2,1,632,3
,2,2,1071,5
1720.0,3,2,1090,1
1640.0,3,2,905,2
2430.0,1,2,968,5
1195.0,3,1,652,1
6700.0,2,1,668,5
2240.0,2,2,928,4
1430.0,3,3,1240,3
,2,2,1140,5
2800.0,1,1,736,6
1640.0,2,2,987,2
871.0,2,3,1381,1
1720.0,1,2,873,1
1920.0,3,2,1139,4
1154.0,1,3,1032,1
2312.0,3,1,690,2
,1,1,612,6
2370.0,3,2,1079,3
1220.0,1,2,949,2
2500.0,3,2,972,8
,1,2,923,6
2500.0,2,1,709,8
1214.0,1,2,954,2
1800.0,2,1,665,2
440.0,2,4,1431,2
1874.0,3,1,632,1
1500.0,2,2,1045,3
2410.0,3,1,729,2
1320.0,3,2,963,1
3900.0,3,2,961,5
2100.0,3,1,767,1
,3,1,657,7
2500.0,2,3,1033,6
2550.0,2,2,1095,6
1700.0,3,2,939,1
3232.0,2,1,637,5
2282.0,2,2,998,4
1584.0,2,2,1080,2
1360.0,2,2,1183,2
1860.0,3,2,1131,2
,1,2,842,8
2520.0,3,3,1329,6
1200.0,3,2,993,4
2610.0,3,2,1099,7
2470.0,3,3,1193,3
,1,3,1119,5
2960.0,2,2,1039,6
1190.0,2,3,1104,2
1270.0,3,1,608,3
4470.0,1,2,979,7
,1,1,670,7
714.0,2,3,1153,1
1914.0,1,3,1096,1
1600.0,3,3,1307,2
900.0,1,3,1151,1
2700.0,3,3,1247,5
960.0,1,1,726,4
2200.0,3,2,1152,1
870.0,1,3,1019,3
,2,2,1038,6
866.0,1,3,1004,3
1401.0,1,2,974,2
1052.0,1,2,958,2
,1,2,820,5
1210.0,3,2,995,1
950.0,3,3,1013,3
2200.0,1,2,965,6
,2,1,672,5
1110.0,3,3,1393,1
,2,2,1167,8
,2,3,1199,5
1712.0,1,1,601,3
1260.0,3,3,1184,3
772.0,3,2,901,1
2900.0,3,1,683,6
2220.0,3,2,1066,3
2230.0,2,1,775,4
2340.0,1,2,805,7
,1,1,668,7
,2,2,944,6
1200.0,2,4,1615,1
1480.0,3,2,1006,1
1684.0,2,3,1169,2
2062.0,1,2,837,8
1800.0,3,1,672,1
1123.0,1,4,1298,3
3263.776,1,1,511,6
1182.0,1,2,871,2
1212.0,1,1,623,4
872.0,3,3,1121,2
760.0,1,4,1345,3
3300.0,2,1,642,8
806.0,1,3,1274,3
,2,1,614,8
1228.0,3,2,999,1
1900.0,3,2,1037,4
3430.314,1,1,680,5
,2,1,755,6
1060.0,1,3,1350,3
,2,3,1063,5
910.0,1,2,905,2
1620.0,1,3,1324,3
1230.0,3,2,1132,3
,1,1,744,5
7460.0,3,2,1034,8
1120.0,2,2,1060,3
4200.0,2,2,931,6
1500.0,3,3,1217,4
1900.0,3,1,625,3
1450.0,2,2,1017,1
,1,1,741,8
1542.0,2,2,1199,4
,3,1,678,5
1520.0,1,3,1023,3
2100.0,1,1,534,7
1240.0,3,2,990,1
1002.0,3,1,752,2
,3,3,1136,6
2540.0,3,1,691,6
2800.0,3,1,658,5
1790.0,2,2,1196,3
3054.0,2,1,766,7
1516.0,3,3,1205,3
1400.0,2,1,788,2
,2,2,1073,7
1700.0,1,1,518,1
1850.0,2,1,695,4
,1,1,663,7
1336.8,3,2,928,2
1100.0,1,2,898,3
2100.0,3,1,618,3
812.0,1,2,934,1
2650.0,3,2,1143,8
1092.0,1,2,991,4
2700.0,2,1,626,6
980.0,3,3,1072,4
1370.0,1,1,563,3
3238.0,3,2,1079,5
610.0,2,3,1028,1
3400.0,1,1,576,7
1320.0,3,3,1177,4
,3,3,1242,6
,1,1,542,8
2386.0,2,1,635,1
1070.0,2,1,774,3
1420.0,2,2,920,4
1370.0,2,3,1123,3
1500.0,2,2,916,4
1640.0,2,1,789,2
1810.0,2,2,1065,4
1844.0,1,1,594,4
1430.0,2,3,1038,4
,2,1,764,5
1505.0,3,3,1119,3
,2,1,795,6
2684.0,3,2,1024,6
,2,2,1041,7
2100.0,3,1,633,3
1300.0,2,2,974,2
1400.0,3,3,1137,3
,3,2,900,7
2020.0,3,2,907,4
2552.0,2,2,1146,6
2340.0,3,2,1084,4
,2,2,1153,7
,1,2,882,6
1200.0,1,1,624,2
,3,4,1732,6
1000.0,2,2,968,2
3730.0,3,3,1115,6
,3,2,1011,8
,3,1,799,7
2480.0,3,2,1005,4
2300.0,2,3,1317,2
3362.0,2,2,975,7
1370.0,1,2,906,4
1443.0,2,1,711,3
1134.0,1,2,899,3
1690.0,2,3,1116,2
805.0,2,2,1119,3
1284.0,3,3,1147,2
,3,1,745,5
,1,3,1027,7
2402.0,2,1,796,4
1840.0,3,3,1328,1
1640.0,3,1,795,1
2380.0,3,2,1037,3
2400.0,1,2,907,8
3506.0,2,2,914,6
,2,2,913,5
,3,3,1156,8
1380.0,2,2,1077,2
2040.0,3,2,994,1
1600.0,1,3,1116,1
5810.0,3,3,1051,7
660.0,3,3,1328,3
2010.0,2,2,1164,1
1380.0,1,2,975,3
2790.0,2,2,1147,5
1240.0,2,3,1077,4
1500.0,3,1,769,4
1938.0,3,2,959,2
,3,2,948,6
2782.0,1,1,609,7
2180.0,1,3,1293,7
1050.0,1,2,912,1
970.0,3,2,1177,2
,3,1,666,7
2720.0,3,2,935,7
2840.0,2,1,640,8
2500.0,1,2,959,6
1974.0,2,2,905,4
1240.0,1,3,1042,3
1526.0,1,1,642,3
,1,3,1191,8
,2,1,612,7
1072.0,1,2,805,2
1300.0,3,3,1244,1
1117.0,1,3,1378,3
,3,1,744,5
,3,2,1178,8
,1,1,729,5
,2,3,1200,6
920.0,2,3,1139,4
1902.0,3,1,694,1
2660.0,2,2,1014,7
2822.0,3,2,1155,7
1790.0,2,3,1192,1
,2,2,1027,7
1922.0,2,2,949,4
1900.0,1,3,1038,1
1700.0,3,3,1107,2
1010.0,3,4,1600,1
2820.0,1,2,860,5
2421.0,1,2,930,8
,2,3,1157,6
982.0,2,2,972,2
1680.0,2,1,785,2
1970.0,2,3,1201,3
1998.0,3,2,1112,4
1460.0,3,3,1390,3
3830.0,2,1,752,6
1340.0,1,2,902,2
910.0,1,3,1037,4
1200.0,3,1,682,1
668.0,3,3,1103,4
1500.0,3,1,649,2
,2,3,1243,8
3154.0,3,1,611,5
1760.0,3,1,688,2
2820.0,3,2,1182,8
3300.0,1,2,855,5
,2,2,1129,7
910.0,3,2,1135,3
1310.0,1,3,1382,3
4900.0,3,1,700,7
1100.0,2,2,1128,4
2023.0,3,2,1098,4
1450.0,1,2,951,2
4500.0,1,1,679,6
890.0,3,4,1649,1
800.0,2,3,1209,3
2000.0,3,3,1074,1
2120.0,3,2,976,4
1900.0,1,3,1268,2
2620.0,3,2,1071,8
2400.0,3,1,695,2
1170.0,1,1,563,2
2660.0,1,2,825,8
2610.0,3,2,1003,7
1024.0,3,3,1108,1
1242.0,2,1,605,4
,3,2,1102,6
2450.0,2,3,1346,3
,2,2,1072,8
2085.0,3,1,790,2
,1,1,589,8
1300.0,2,2,1093,2
2700.0,2,2,1173,6
1098.0,2,2,963,4
1350.0,3,2,1123,1
1810.0,1,2,845,1
1700.0,3,3,1252,1
2720.0,1,2,964,6
,2,3,1056,6
10040.0,3,1,735,6
1120.0,3,3,1231,2
1920.0,1,1,568,2
,3,1,672,8
3500.0,2,1,621,5
700.0,1,4,1577,2
4200.0,1,2,916,6
1940.0,2,2,1056,2
912.0,2,4,1380,4
1164.0,1,2,994,3
1646.0,3,3,1331,1
1670.0,2,2,1018,2
,2,2,1051,8
2550.0,2,2,1052,5
1320.0,2,1,790,4
,1,1,626,6
2000.0,3,1,706,2
1340.0,2,2,1146,1
1916.0,1,1,653,4
,2,1,663,5
,1,2,869,8
1380.0,2,1,796,3
930.0,1,3,1221,3
,1,4,1300,7
,1,4,1262,8
1300.0,2,2,942,3
600.0,3,3,1315,2
950.0,2,1,671,4
1240.0,1,2,942,4
1410.0,3,2,1064,3
1400.0,1,1,574,3
960.0,3,3,1252,3
2570.0,2,1,659,5
,3,3,1350,8
,3,2,975,6
1970.0,1,2,839,2
3140.0,1,1,733,7
1580.0,2,3,1041,3
1180.0,2,3,1075,4
3304.0,3,2,1085,5
884.0,3,3,1057,2
,1,3,1331,5
1427.0,1,2,980,3
2010.0,3,2,1094,2
4550.0,2,1,751,5
1180.0,3,2,1030,2
,3,2,1130,8
2210.0,3,2,1049,4
1560.0,2,3,1032,1
2140.0,2,2,1094,2
3400.0,2,1,612,7
2600.0,1,2,888,7
1340.0,3,2,999,1
1556.0,2,1,749,3
1420.0,3,2,1186,4
,3,2,1178,8
2850.0,3,2,1117,8
1460.0,2,2,978,2
3400.0,3,2,1027,8
2286.0,2,3,1166,4
4000.0,2,2,971,8
1500.0,3,2,1178,1
3600.0,2,1,632,5
1330.0,1,2,817,1
1650.0,1,3,1165,1
2220.0,2,2,1064,3
1480.0,1,2,915,1
1180.0,2,2,909,1
635.0,2,4,1267,1
1800.0,1,2,814,2
,2,2,905,5
1874.0,3,2,1182,4
1160.0,2,2,1004,1
,3,1,635,6
1940.0,2,2,1132,3
3520.0,3,2,1185,8
1990.0,1,2,877,4
4900.0,2,1,644,6
,3,2,1108,8
2440.0,3,2,932,2
974.0,3,2,1078,2
1540.0,3,3,1300,4
3000.0,1,3,1051,7
3021.0,3,1,635,8
2200.0,2,1,602,1
2448.0,2,2,912,4
1090.0,3,2,1090,2
2840.0,3,1,642,5
1730.0,3,1,777,2
,3,4,1467,7
,1,2,861,6
2360.0,1,2,961,7
,1,2,901,7
696.0,3,3,1309,1
,1,1,568,6
,2,2,989,7
,3,2,903,5
4110.0,3,1,731,8
1226.0,1,3,1188,4
2974.0,1,1,592,7
3002.0,3,3,1218,6
1022.0,2,2,1077,2
1550.0,2,2,983,4
,3,3,1125,5
2142.0,2,2,901,1
1602.0,2,3,1041,1
,2,2,1179,8
2370.0,3,1,718,1
1547.6,3,1,738,4
,3,1,703,8
2860.0,2,1,636,7
1952.0,1,3,1129,1
2780.0,2,1,751,6
1650.0,1,1,563,1
,1,2,976,6
,1,2,986,8
,2,2,932,6
,3,1,646,6
523.0,2,3,1158,3
,3,3,1033,5
1700.0,3,2,948,4
1524.0,1,3,1264,1
2450.0,2,2,970,1
2260.0,1,3,1098,6
2710.0,1,2,865,6
1110.0,1,2,925,3
1560.0,3,2,1141,3
1000.0,3,2,1165,3
1200.0,1,3,1121,1
,2,1,738,7
2554.0,1,1,660,5
2850.0,1,1,589,8
610.0,2,4,1491,3
1310.0,1,2,811,3
1120.0,2,2,1029,3
954.0,3,2,1005,2
1364.0,3,1,788,3
920.0,3,3,1141,3
1418.0,1,1,655,2
3540.0,1,1,658,8
2900.0,2,1,694,6
3800.0,1,2,978,5
810.0,3,2,1074,2
965.0,2,2,1132,1
1410.0,1,3,1260,4
1032.0,3,3,1127,1
2480.0,2,2,1162,3
1690.0,2,3,1016,2
904.0,2,3,1020,1
4634.0,2,1,704,8
1522.0,2,1,654,4
1420.0,3,3,1342,3
,3,1,689,6
1984.0,3,2,1152,3
,3,3,1384,8
2805.0,2,2,1164,6
2010.0,3,1,775,3
,2,1,624,6
2440.0,3,2,1133,3
1440.0,3,2,1139,3
2130.0,2,2,1081,1
1264.0,1,2,869,4
4780.0,1,2,848,7
2428.0,3,2,1166,3
1300.0,2,2,961,3
1030.0,3,3,1375,2
1030.0,2,2,943,1
1920.0,3,3,1393,3
2100.0,2,1,678,3
1740.0,3,3,1375,4
2410.0,2,2,975,2
1900.0,3,3,1196,3
,3,2,1185,5
1390.0,3,3,1131,2
1500.0,3,2,1040,4
3960.0,2,3,1101,7
,3,3,1187,7
2300.0,2,3,1064,3
1860.0,3,3,1207,3
1430.0,2,2,1116,1
2600.0,3,1,744,8
1530.0,2,2,1127,1
2602.0,3,1,708,5
1660.0,2,2,1082,3
2350.0,1,1,521,7
1740.0,2,2,1157,4
2750.0,3,2,939,8
1300.0,3,2,976,2
1200.0,3,2,1077,1
2000.0,2,2,1074,1
4820.0,1,1,532,8
2100.0,3,2,948,4
2550.0,2,1,730,7
850.0,3,3,1345,1
,2,2,1181,7
920.0,2,2,1141,4
2380.0,1,1,587,7
,1,1,633,5
7440.0,3,2,1189,6
1760.0,2,2,1150,1
1285.0,3,2,1157,1
,2,2,928,7
1186.0,3,1,706,3
,2,1,692,6
1690.0,2,2,1176,4
3600.0,2,2,1015,8
1310.0,3,2,989,3
3610.0,3,2,1013,7
,3,2,1104,8
1900.0,2,3,1192,4
1380.0,1,3,1379,4
,1,1,596,7
2440.0,2,2,942,1
2460.0,1,1,669,7
1810.0,3,2,1060,2
830.0,3,1,677,2
,2,2,901,7
1250.0,1,3,1007,3
1520.0,3,2,1061,4
761.0,2,2,1181,3
2130.0,3,2,981,4
1500.0,1,3,1240,2
1110.0,3,2,1092,2
2652.0,2,1,721,5
1360.0,2,2,1158,3
2100.0,3,2,935,2
1020.0,1,2,836,2
3120.0,2,2,1168,5
1700.0,3,3,1135,4
2164.0,2,1,793,3
1030.0,1,2,812,2
600.0,1,4,1595,1
1680.0,1,2,801,4
,3,3,1132,7
1075.0,1,2,848,4
1860.0,2,2,1161,4
800.0,3,4,1352,4
1200.0,2,2,930,1
,3,2,992,7
2570.0,3,2,1150,5
,3,2,957,8
1800.0,3,2,1187,4
2360.0,3,2,1098,1
1270.0,1,1,520,2
2320.0,2,2,981,1
3952.0,3,1,662,5
,3,3,1330,7
,3,3,1061,5
2142.0,1,2,807,7
800.0,1,3,1007,1
,3,2,946,5
2500.0,2,3,1142,8
,1,1,512,5
1102.0,1,2,930,4
,1,2,966,7
2800.0,3,1,779,8
1380.0,2,2,1025,2
740.0,2,3,1185,4
1030.0,1,1,577,1
1200.0,1,3,1284,1
1364.0,3,2,1192,4
2610.0,1,1,585,5
1460.0,2,1,773,3
1470.0,3,2,973,1
,3,1,742,6
880.0,2,2,1114,2
3230.0,3,1,707,5
864.0,3,3,1150,1
,2,3,1337,6
2980.0,2,2,1123,8
1466.0,2,2,1070,2
3652.0,3,2,1029,6
,1,3,1025,7
1590.0,3,2,1172,3
1480.0,2,3,1244,2
,3,2,1021,6
2100.0,2,2,967,3
3446.0,2,1,762,7
770.0,1,3,1087,4
2800.0,3,1,600,8
,1,1,704,5
2601.0,1,2,947,6
1738.0,2,2,1054,2
1860.0,3,2,957,3
,3,3,1104,5
,3,2,1116,8
1200.0,2,2,955,3
1196.0,2,1,674,3
1400.0,2,3,1396,3
,1,3,1362,6
2250.0,3,1,746,2
,3,2,1006,5
1620.0,2,1,624,4
1616.0,2,3,1215,2
1540.0,2,2,1139,4
1132.0,3,3,1254,2
2380.0,3,1,604,2
2550.0,1,2,981,5
1524.0,3,3,1287,2
1290.0,3,2,961,2
1520.0,2,2,1097,3
2200.0,1,1,692,6
2980.0,3,2,1146,7
730.0,2,3,1024,4
,3,2,1042,8
2650.0,1,2,935,8
1021.0,1,3,1005,4
1610.0,2,3,1365,4
2900.0,2,2,1040,7
,3,2,1092,6
,3,2,1027,5
1160.0,3,3,1200,3
2960.0,3,1,699,5
,1,2,811,8
1420.0,1,2,982,4
,2,3,1363,5
3000.0,3,1,745,5
2018.0,1,1,726,6
4120.0,1,2,894,7
1160.0,2,1,774,1
1210.0,3,1,684,2
,1,2,873,8
2100.0,3,1,621,3
923.0,3,1,746,3
1042.0,2,3,1328,3
,1,1,712,7
,1,3,1001,7
3930.0,2,1,667,5
1950.0,2,3,1390,4
1240.0,1,3,1085,2
926.0,2,4,1264,1
,1,1,503,8
1254.0,1,2,954,1
,3,2,968,8
1820.0,1,3,1337,3
1210.0,3,3,1125,1
1382.0,1,3,1198,2
880.0,3,4,1681,2
,3,1,787,6
3600.0,3,3,1046,7
2210.0,2,3,1267,2
924.0,2,3,1326,1
2510.0,3,3,1232,8
2050.0,3,2,1101,3
2310.0,3,3,1125,2
,1,1,656,8
1720.0,1,1,735,2
,3,1,729,7
,3,3,1384,5
2550.0,2,3,1345,8
,2,2,1015,8
1142.0,2,3,1263,2
1280.0,1,2,971,3
2000.0,1,2,839,7
2750.0,1,2,974,8
,2,2,972,7
1380.0,3,1,643,3
1872.0,2,2,963,1
,2,1,731,8
,2,2,941,5
940.0,2,3,1165,4
1095.0,2,2,1082,3
1856.0,3,1,631,2
2880.0,3,2,1004,6
,3,3,1066,5
1314.0,2,3,1150,3
1700.0,3,1,735,3
1450.0,2,3,1204,1
1500.0,2,2,1006,2
2880.0,2,1,681,8
,3,2,1110,7
3420.0,3,2,1163,5
,2,1,691,5
3080.0,3,1,703,5
1442.0,2,3,1071,2
1294.0,2,2,1062,3
1700.0,2,2,971,4
,2,1,785,6
4800.0,1,1,621,8
1490.0,2,1,602,2
1920.0,3,3,1189,3
1490.0,3,3,1386,4
1410.0,2,3,1308,4
1530.0,1,3,1213,2
1162.0,2,2,1169,3
,1,1,711,5
1900.0,3,2,954,3
3800.0,1,2,997,6
2762.0,1,2,811,6
1410.0,2,2,1170,4
980.0,2,1,686,3
1540.0,3,2,954,1
600.0,3,3,1046,3
2800.0,3,2,939,8
1203.0,2,2,1051,3
,2,1,711,8
1906.0,2,3,1349,1
1740.0,1,2,979,4
,1,1,743,5
2080.0,2,3,1048,1
2364.0,1,2,941,6
1320.0,1,1,640,1
1450.0,3,2,1076,1
1342.0,1,2,831,2
1110.0,2,2,952,1
1042.0,3,2,992,2
1972.0,3,3,1111,3
1100.0,3,2,934,3
990.0,2,1,762,1
2520.0,2,3,1149,8
,1,1,622,6
,3,4,1536,6
2200.0,1,1,690,5
,3,2,941,5
2040.0,1,1,509,5
,1,2,878,7
1452.0,2,3,1144,1
1200.0,1,1,705,1
,1,1,509,6
852.0,2,2,989,3
2100.0,2,3,1392,4
920.0,2,3,1259,2
,3,3,1157,5
,2,1,626,5
854.0,3,2,1146,1
1040.0,2,3,1056,4
,2,1,656,5
1710.0,2,3,1066,4
1620.0,2,2,966,4
2660.0,3,3,1271,7
1472.0,1,2,851,3
4227.0,2,1,767,7
1360.0,2,2,1187,4
1674.0,1,3,1102,2
1734.0,3,2,1175,3
1298.0,3,1,769,4
,2,2,1053,8
1124.0,2,3,1232,4
1922.0,3,1,652,4
1390.0,2,3,1005,3
602.0,1,3,1068,2
,2,1,695,6
3606.0,1,3,1048,8
1580.0,2,3,1376,2
,2,2,1127,7
1516.0,1,3,1034,1
,2,3,1243,7
1580.0,3,3,1194,4
,2,2,1064,7
1634.0,2,2,1018,2
1700.0,3,2,1166,1
1462.0,1,3,1208,4
522.0,3,4,1448,4
1863.0,1,2,945,2
1676.0,2,2,1006,1
1302.0,1,2,841,4
3230.0,3,1,730,8
712.0,2,3,1332,3
3040.0,2,3,1224,7
,2,2,1003,6
,1,1,663,6
,2,1,660,5
770.0,3,3,1397,3
,2,3,1239,8
1880.0,2,2,1058,2
1940.0,1,2,959,2
612.0,3,4,1271,1
1800.0,3,3,1300,3
2530.0,1,2,859,6
1558.0,2,2,1093,3
800.0,2,2,1140,2
1680.0,3,1,798,1
990.0,3,3,1244,4
2880.0,2,2,1153,7
2002.0,1,2,925,7
1134.0,3,3,1278,2
1302.0,3,3,1029,2
2232.0,3,2,998,3
3780.0,3,1,792,7
1520.0,3,2,1186,4
,2,2,1053,6
2450.0,3,2,1135,1
1590.0,1,2,920,3
3400.0,2,1,610,6
2700.0,3,2,1141,8
2670.0,2,2,1087,5
2460.0,2,3,1084,2
1280.0,1,2,953,4
3440.0,2,2,1112,8
892.0,1,4,1658,3
1850.0,2,1,798,1
,1,4,1508,8
1502.0,3,2,1129,2
1460.0,3,3,1283,3
1080.0,3,3,1102,4
1330.0,3,2,994,3
1240.0,2,1,692,4
1840.0,2,2,1059,4
910.0,3,3,1018,2
,3,1,736,7
,3,2,1187,7
2236.0,3,3,1269,3
,3,3,1016,7
1292.0,2,3,1047,4
,3,2,907,6
2412.0,1,1,661,5
,3,1,747,8
2630.0,2,3,1037,6
2640.0,2,1,626,8
2220.0,2,1,690,3
750.0,3,2,998,1
2100.0,2,2,1077,1
,1,1,742,8
1854.0,3,2,1108,3
870.0,1,3,1269,4
1922.0,3,1,788,3
2200.0,2,1,628,1
1514.0,1,3,1296,4
1830.0,1,2,894,2
1170.0,2,1,786,4
2490.0,3,2,917,2
880.0,2,3,1256,1
1940.0,2,2,947,1
,2,2,904,7
1160.0,1,2,832,2
